owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1409669,2014-09-21 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,4
1409687,2014-08-27 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$178,$0,Academy of Music,The Barber of Seville,2
1409706,2014-04-20 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$266,$0,Academy of Music,Don Giovanni,2
1409914,2014-01-27 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$364,$0,Academy of Music,Don Giovanni,4
1410270,2014-08-14 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$239,$0,Academy of Music,The Barber of Seville,1
1410270,2014-09-22 00:00:00,1,Default Channel,xxTP Phone Sales,Email Print at Home,$180,$0,Academy of Music,The Barber of Seville,1
1410270,2014-09-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1410674,2014-04-18 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$326,$0,Academy of Music,Don Giovanni,2
1410838,2014-03-08 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$339,$0,Academy of Music,Don Giovanni,2
1410862,2014-03-06 00:00:00,1,Phone,Ticketing,OP - US Mail,$141,$0,Academy of Music,Don Giovanni,3
